Bug ID,Product,Component,Version,Opened
11117,Tomcat 4,Connector:Coyote HTTP/1.1,4.10,24-07-02 7:44
11128,Tomcat 4,Catalina,4.10,24-07-02 13:39
11129,Tomcat 4,Catalina,4.10,24-07-02 14:43
11165,Tomcat 4,Webapps:Administration,4.10,25-07-02 12:09
11181,Tomcat 4,Webapps:Examples,4.10,25-07-02 20:46
11187,Tomcat 4,Webapps:Examples,4.10,25-07-02 23:36
11191,Tomcat 4,Catalina,4.10,26-07-02 1:59
11203,Tomcat 4,Jasper 2,4.10,26-07-02 11:00
11208,Tomcat 4,Catalina,4.10,26-07-02 16:00
11210,Tomcat 4,Catalina,4.10,26-07-02 16:19
11258,Tomcat 4,Catalina,4.10,29-07-02 18:05
11268,Tomcat 4,Jasper 2,4.10,30-07-02 1:50
11307,Tomcat 4,Catalina,4.10,30-07-02 20:15
11364,Tomcat 4,Connector:Coyote JK 2 (deprecated),4.10,01-08-02 12:08
11383,Tomcat 4,Webapps:Administration,4.10,01-08-02 21:21
11415,Tomcat 4,Webapps:Administration,4.10,02-08-02 14:08
11470,Tomcat 4,Catalina,4.10,05-08-02 15:37
11485,Tomcat 4,Jasper 2,4.10,06-08-02 0:27
11488,Tomcat 4,Jasper 2,4.10,06-08-02 4:47
11489,Tomcat 4,Catalina,4.10,06-08-02 6:05
11490,Tomcat 4,Jasper 2,4.10,06-08-02 7:12
11501,Tomcat 4,Catalina,4.10,06-08-02 14:44
11502,Tomcat 4,Catalina,4.10,06-08-02 15:08
11542,Tomcat 4,Servlets:WebDAV,4.10,07-08-02 22:43
11552,Tomcat 4,Jasper 2,4.10,08-08-02 10:33
11556,Tomcat 4,Catalina,4.10,08-08-02 13:26
11619,Tomcat 4,Servlet & JSP API,4.10,11-08-02 20:10
11628,Tomcat 4,Catalina,4.10,12-08-02 8:56
11646,Tomcat 4,Jasper 2,4.10,13-08-02 5:31
11647,Tomcat 4,Unknown,4.10,13-08-02 5:42
