"Bug ID","Product","Component","Changed","Opened","Version"
576700,"Firefox","General","2011-05-14 18:56:41","2010-07-02 19:03:59","3.6 Branch"
576808,"Firefox","General","2011-07-15 03:40:41","2010-07-03 16:57:50","3.6 Branch"
576889,"Firefox","General","2011-05-14 18:57:02","2010-07-04 12:37:52","3.6 Branch"
577804,"Firefox","General","2015-10-29 18:50:36","2010-07-10 03:30:31","3.6 Branch"
577951,"Firefox","General","2011-05-14 21:00:25","2010-07-11 13:00:17","3.6 Branch"
578328,"Firefox","General","2012-01-09 05:01:35","2010-07-13 04:34:04","3.6 Branch"
578479,"Firefox","General","2011-05-14 21:01:20","2010-07-13 14:02:44","3.6 Branch"
579841,"Firefox","General","2011-08-22 17:20:26","2010-07-19 00:54:16","3.6 Branch"
581464,"Firefox","General","2011-05-14 18:02:51","2010-07-23 09:31:28","3.6 Branch"
584853,"Firefox","General","2011-08-22 17:57:28","2010-08-05 13:50:32","3.6 Branch"
585312,"Firefox","General","2011-05-16 17:51:17","2010-08-07 07:22:33","3.6 Branch"
586024,"Firefox","General","2011-05-14 21:06:35","2010-08-10 11:42:50","3.6 Branch"
589113,"Firefox","General","2011-05-14 21:08:07","2010-08-20 02:40:15","3.6 Branch"
591090,"Firefox","General","2011-05-14 18:08:46","2010-08-26 16:06:59","3.6 Branch"
591134,"Firefox","General","2011-03-30 07:19:54","2010-08-26 18:20:35","3.6 Branch"
592865,"Firefox","Extension Compatibility","2013-03-31 04:28:01","2010-09-01 15:02:19","3.6 Branch"
594288,"Firefox","General","2011-05-14 21:09:39","2010-09-08 01:08:50","3.6 Branch"
595362,"Firefox","General","2011-06-03 17:53:33","2010-09-10 15:01:51","3.6 Branch"
596604,"Firefox","General","2010-09-15 16:57:15","2010-09-15 08:04:24","3.6 Branch"
596844,"Firefox","General","2011-05-14 21:11:44","2010-09-15 19:18:26","3.6 Branch"
597444,"Firefox","General","2014-02-23 09:00:40","2010-09-17 10:23:51","3.6 Branch"
597709,"Firefox","General","2011-09-26 10:17:05","2010-09-18 10:04:57","3.6 Branch"
597733,"Firefox","General","2011-05-12 19:19:32","2010-09-18 12:52:02","3.6 Branch"
598901,"Firefox","General","2011-05-14 21:14:14","2010-09-23 04:07:53","3.6 Branch"
599898,"Firefox","Extension Compatibility","2015-09-04 03:37:06","2010-09-27 09:52:44","3.6 Branch"
601809,"Firefox","General","2011-05-14 18:15:57","2010-10-04 17:12:07","3.6 Branch"
606140,"Firefox","Security","2011-02-12 22:13:29","2010-10-21 02:27:05","3.6 Branch"
606428,"Firefox","General","2015-03-23 08:49:39","2010-10-22 01:33:45","3.6 Branch"
606836,"Firefox","General","2011-05-14 21:18:01","2010-10-24 12:08:15","3.6 Branch"
606969,"Firefox","General","2011-05-10 21:12:28","2010-10-25 07:58:31","3.6 Branch"
607843,"Firefox","General","2011-08-21 11:17:52","2010-10-27 18:02:24","3.6 Branch"
608563,"Firefox","General","2011-05-14 21:20:46","2010-10-30 17:32:38","3.6 Branch"
610360,"Firefox","Location Bar","2011-05-14 23:49:56","2010-11-08 06:01:32","3.6 Branch"
610558,"Firefox","General","2011-05-14 21:21:35","2010-11-08 18:05:14","3.6 Branch"
613784,"Firefox","General","2011-05-14 21:23:10","2010-11-20 14:30:28","3.6 Branch"
613786,"Firefox","General","2011-05-14 21:23:20","2010-11-20 15:16:20","3.6 Branch"
614282,"Firefox","General","2012-03-31 12:32:35","2010-11-23 09:30:47","3.6 Branch"
615575,"Firefox","General","2011-05-14 18:25:49","2010-11-30 08:56:14","3.6 Branch"
617285,"Firefox","General","2011-02-12 22:13:24","2010-12-07 02:45:54","3.6 Branch"
617545,"Firefox","Toolbars and Customization","2014-01-21 14:40:41","2010-12-08 01:09:07","3.6 Branch"
618603,"Firefox","General","2013-12-15 20:31:50","2010-12-11 10:50:38","3.6 Branch"
622472,"Firefox","General","2014-11-30 02:17:14","2011-01-02 18:22:19","3.6 Branch"
623799,"Firefox","General","2011-04-17 09:05:28","2011-01-06 18:18:07","3.6 Branch"
624256,"Firefox","Menus","2011-01-09 11:54:34","2011-01-09 08:41:01","3.6 Branch"
624395,"Firefox","General","2011-05-14 21:29:37","2011-01-10 09:02:11","3.6 Branch"
625327,"Firefox","Disability Access","2011-03-21 05:10:53","2011-01-13 03:29:05","3.6 Branch"
627315,"Firefox","Keyboard Navigation","2011-01-20 06:44:01","2011-01-20 02:29:58","3.6 Branch"
628014,"Firefox","General","2012-11-13 11:43:49","2011-01-22 09:53:59","3.6 Branch"
633162,"Firefox","General","2011-05-14 18:31:02","2011-02-10 05:03:54","3.6 Branch"
633300,"Firefox","Tabbed Browser","2011-05-12 13:08:33","2011-02-10 12:54:22","3.6 Branch"
638524,"Firefox","General","2011-03-04 07:27:11","2011-03-03 12:01:32","3.6 Branch"
640851,"Firefox","General","2011-05-12 21:34:36","2011-03-10 18:37:41","3.6 Branch"
641420,"Firefox","General","2011-03-13 19:40:37","2011-03-13 19:39:35","3.6 Branch"
641807,"Firefox","General","2011-05-12 19:34:52","2011-03-15 06:25:32","3.6 Branch"
662149,"Firefox","Toolbars and Customization","2011-08-11 14:21:07","2011-06-05 06:23:51","3.6 Branch"
313559,"Firefox","General","2011-01-27 16:19:52","2005-10-23 21:17:52","3.6 Branch"
320535,"Firefox","General","2012-08-05 02:21:59","2005-12-16 07:52:12","3.6 Branch"
338917,"Firefox","Preferences","2010-08-18 22:23:16","2006-05-22 19:28:00","3.6 Branch"
355747,"Firefox","General","2015-07-21 13:19:07","2006-10-06 11:30:35","3.6 Branch"
371166,"Firefox","Preferences","2010-08-20 10:17:35","2007-02-21 14:12:28","3.6 Branch"
383540,"Firefox","Keyboard Navigation","2010-11-15 18:37:36","2007-06-06 19:26:53","3.6 Branch"
396815,"Firefox","Shell Integration","2013-03-05 10:58:58","2007-09-19 16:55:01","3.6 Branch"
398257,"Firefox","General","2010-08-16 07:17:36","2007-10-02 04:51:15","3.6 Branch"
398859,"Firefox","Preferences","2010-11-15 14:49:39","2007-10-06 10:06:10","3.6 Branch"
409196,"Firefox","General","2011-03-23 03:50:10","2007-12-20 06:07:50","3.6 Branch"
410737,"Firefox","General","2011-02-21 15:29:30","2008-01-03 20:23:39","3.6 Branch"
411669,"Firefox","General","2011-11-10 02:00:52","2008-01-10 06:23:29","3.6 Branch"
413458,"Firefox","General","2012-02-01 07:45:45","2008-01-22 02:26:45","3.6 Branch"
419362,"Firefox","General","2012-11-16 07:48:05","2008-02-24 15:59:06","3.6 Branch"
419754,"Firefox","General","2011-06-03 23:54:27","2008-02-26 16:59:46","3.6 Branch"
422148,"Firefox","Location Bar","2010-10-08 20:50:29","2008-03-11 10:12:33","3.6 Branch"
422216,"Firefox","General","2013-11-03 06:53:56","2008-03-11 13:42:22","3.6 Branch"
428517,"Firefox","Tabbed Browser","2013-09-23 05:59:10","2008-04-11 07:43:53","3.6 Branch"
432179,"Firefox","General","2014-09-26 14:03:24","2008-05-04 20:28:51","3.6 Branch"
437929,"Firefox","General","2011-11-05 06:57:51","2008-06-09 00:31:01","3.6 Branch"
439256,"Firefox","General","2011-08-19 15:35:19","2008-06-14 12:31:39","3.6 Branch"
440020,"Firefox","Toolbars and Customization","2010-10-19 08:28:03","2008-06-18 08:45:48","3.6 Branch"
446496,"Firefox","General","2011-03-08 01:27:39","2008-07-21 16:22:10","3.6 Branch"
447765,"Firefox","File Handling","2013-08-19 05:45:03","2008-07-24 05:01:02","3.6 Branch"
458518,"Firefox","General","2012-09-30 11:27:45","2008-10-04 09:39:20","3.6 Branch"
465613,"Firefox","File Handling","2011-03-06 14:27:39","2008-11-18 14:37:53","3.6 Branch"
468513,"Firefox","Tabbed Browser","2013-08-09 02:54:26","2008-12-08 14:07:34","3.6 Branch"
470408,"Firefox","Location Bar","2014-09-21 12:04:46","2008-12-19 03:39:52","3.6 Branch"
473372,"Firefox","File Handling","2010-12-01 08:22:16","2009-01-13 05:19:25","3.6 Branch"
474735,"Firefox","Security","2011-03-05 20:44:32","2009-01-21 19:35:08","3.6 Branch"
477871,"Firefox","General","2012-07-06 06:05:32","2009-02-10 12:37:13","3.6 Branch"
