"Bug ID","Product","Component","Changed","Opened","Version"
463394,"Firefox","General","2009-11-18 20:08:13","2008-11-06 03:38:14","3.0 Branch"
470601,"Firefox","Extension Compatibility","2011-06-09 14:58:49","2008-12-20 16:58:39","3.0 Branch"
433730,"Firefox","Shell Integration","2012-06-15 02:39:39","2008-05-14 10:36:07","3.0 Branch"
438761,"Firefox","File Handling","2008-11-09 23:17:18","2008-06-11 18:29:05","3.0 Branch"
438975,"Firefox","General","2010-08-22 15:16:53","2008-06-12 16:44:11","3.0 Branch"
467845,"Firefox","Shell Integration","2014-10-21 03:15:59","2008-12-03 16:43:24","3.0 Branch"
485265,"Firefox","Bookmarks & History","2013-09-12 08:10:26","2009-03-25 16:03:26","3.0 Branch"
486740,"Firefox","Bookmarks & History","2013-07-22 15:00:04","2009-04-03 12:15:36","3.0 Branch"
498447,"Firefox","General","2009-06-15 12:50:21","2009-06-15 12:43:43","3.0 Branch"
547459,"Firefox","General","2010-06-23 14:34:49","2010-02-20 11:34:20","3.0 Branch"
301956,"Firefox","Bookmarks & History","2012-08-21 22:50:15","2005-07-24 14:20:52","3.0 Branch"
318881,"Firefox","Security","2015-01-26 05:54:37","2005-12-02 23:59:42","3.0 Branch"
337645,"Firefox","Security","2012-08-21 23:11:10","2006-05-11 15:25:25","3.0 Branch"
346579,"Firefox","Bookmarks & History","2012-05-20 20:56:44","2006-07-30 11:48:47","3.0 Branch"
399646,"Firefox","Disability Access","2011-05-14 13:33:48","2007-10-12 15:24:49","3.0 Branch"
402394,"Firefox","Shell Integration","2011-06-15 05:35:15","2007-11-03 19:50:51","3.0 Branch"
404657,"Firefox","Shell Integration","2011-06-06 19:37:02","2007-11-20 15:43:47","3.0 Branch"
406148,"Firefox","Shell Integration","2012-06-10 03:06:43","2007-11-30 03:20:55","3.0 Branch"
410390,"Firefox","Shell Integration","2011-06-06 19:41:38","2008-01-01 02:54:30","3.0 Branch"
411436,"Firefox","Shell Integration","2011-06-06 19:42:39","2008-01-08 19:18:12","3.0 Branch"
415917,"Firefox","Shell Integration","2011-06-06 19:43:03","2008-02-06 06:52:34","3.0 Branch"
416464,"Firefox","Security","2015-03-19 08:21:22","2008-02-08 16:51:50","3.0 Branch"
417953,"Firefox","Shell Integration","2011-06-06 19:43:51","2008-02-16 10:42:58","3.0 Branch"
418548,"Firefox","Build Config","2015-04-21 14:11:12","2008-02-19 18:48:06","3.0 Branch"
419088,"Firefox","Shell Integration","2015-03-29 09:40:58","2008-02-22 13:05:19","3.0 Branch"
419261,"Firefox","Extension Compatibility","2014-08-25 09:30:02","2008-02-24 01:56:56","3.0 Branch"
421085,"Firefox","Shell Integration","2011-06-06 19:44:27","2008-03-05 06:56:27","3.0 Branch"
421134,"Firefox","Theme","2011-06-15 05:35:42","2008-03-05 11:23:48","3.0 Branch"
421896,"Firefox","Shell Integration","2012-12-03 12:38:16","2008-03-10 08:49:44","3.0 Branch"
427050,"Firefox","Build Config","2011-06-06 19:47:53","2008-04-04 09:14:09","3.0 Branch"
