"Bug ID","Product","Component","Changed","Opened","Version"
331221,"gnome-calculator","general","2006-02-26 00:41:58","2006-02-15 00:21:43","5.7.x"
595337,"gnome-calculator","general","2009-09-17 23:17:43","2009-09-16 08:39:05","5.27.x"
323150,"gnome-calculator","general","2006-01-23 17:09:13","2005-12-03 21:51:36","5.7.x"
520474,"gnome-calculator","general","2008-03-07 18:17:15","2008-03-05 08:19:56","5.21.x"
531551,"gnome-calculator","general","2008-11-23 07:04:15","2008-05-05 13:24:31","5.22.x"
531573,"gnome-calculator","general","2009-05-11 04:34:27","2008-05-05 15:41:21","5.22.x"
