"Bug ID","Product","Component","Changed","Opened","Version"
670839,"Firefox","Extension Compatibility","2011-07-14 13:40:06","2011-07-11 21:29:06","6 Branch"
679846,"Firefox","General","2011-09-27 08:12:27","2011-08-17 13:12:38","6 Branch"
684476,"Firefox","General","2012-10-10 06:02:03","2011-09-03 03:26:02","6 Branch"
685828,"Firefox","Security","2015-10-22 17:24:42","2011-09-09 04:54:19","6 Branch"
687025,"Firefox","Security","2011-09-16 07:34:13","2011-09-15 23:51:03","6 Branch"
688870,"Firefox","Extension Compatibility","2015-10-13 07:28:09","2011-09-23 14:09:16","6 Branch"
439106,"Firefox","General","2012-02-20 15:20:09","2008-06-13 11:44:16","6 Branch"
640857,"Firefox","General","2011-08-02 16:20:35","2011-03-10 19:43:02","6 Branch"
679629,"Firefox","General","2011-08-17 10:31:34","2011-08-17 01:32:32","6 Branch"
683668,"Firefox","General","2011-09-01 07:24:53","2011-08-31 12:06:06","6 Branch"
684226,"Firefox","General","2011-09-18 10:35:22","2011-09-02 07:04:14","6 Branch"
684846,"Firefox","General","2011-09-06 16:13:48","2011-09-06 06:29:16","6 Branch"
685971,"Firefox","General","2013-09-13 13:23:30","2011-09-09 11:52:32","6 Branch"
687200,"Firefox","General","2014-06-01 07:28:10","2011-09-16 18:21:06","6 Branch"
641008,"Firefox","General","2014-08-17 09:43:18","2011-03-11 09:57:12","6 Branch"
663875,"Firefox","General","2011-08-29 11:19:37","2011-06-13 10:20:40","6 Branch"
669092,"Firefox","General","2011-12-09 06:42:31","2011-07-03 12:31:40","6 Branch"
670524,"Firefox","General","2011-08-27 21:31:18","2011-07-10 07:45:01","6 Branch"
670618,"Firefox","General","2011-08-11 04:54:17","2011-07-11 02:14:32","6 Branch"
670955,"Firefox","General","2011-12-07 04:51:04","2011-07-12 09:48:22","6 Branch"
672039,"Firefox","General","2011-07-16 07:00:48","2011-07-16 06:57:19","6 Branch"
673678,"Firefox","General","2011-07-23 06:55:17","2011-07-23 02:42:44","6 Branch"
673845,"Firefox","General","2012-08-01 05:28:27","2011-07-24 22:13:37","6 Branch"
674215,"Firefox","General","2013-05-29 17:32:14","2011-07-26 06:49:05","6 Branch"
675192,"Firefox","General","2015-07-14 21:13:31","2011-07-29 06:38:17","6 Branch"
675631,"Firefox","General","2014-02-11 04:48:46","2011-08-01 08:26:03","6 Branch"
676462,"Firefox","General","2011-08-03 21:53:35","2011-08-03 21:53:35","6 Branch"
678698,"Firefox","General","2012-08-18 18:12:36","2011-08-13 01:18:24","6 Branch"
678784,"Firefox","General","2012-05-14 05:33:09","2011-08-13 20:51:19","6 Branch"
679127,"Firefox","General","2011-08-15 17:04:55","2011-08-15 13:57:46","6 Branch"
679625,"Firefox","General","2011-09-21 08:38:11","2011-08-17 01:06:13","6 Branch"
679740,"Firefox","General","2011-08-17 11:27:27","2011-08-17 09:21:49","6 Branch"
679989,"Firefox","General","2011-08-18 15:29:49","2011-08-17 22:07:14","6 Branch"
680090,"Firefox","General","2011-10-11 14:16:41","2011-08-18 08:09:59","6 Branch"
680232,"Firefox","Tabbed Browser","2011-08-19 00:18:41","2011-08-18 13:36:09","6 Branch"
680245,"Firefox","General","2011-08-24 23:47:40","2011-08-18 14:08:49","6 Branch"
680367,"Firefox","General","2011-08-19 02:25:26","2011-08-19 00:52:51","6 Branch"
680501,"Firefox","General","2011-10-03 09:37:03","2011-08-19 11:18:53","6 Branch"
680601,"Firefox","Toolbars and Customization","2012-06-05 06:55:09","2011-08-19 16:39:37","6 Branch"
680672,"Firefox","General","2011-08-21 15:04:59","2011-08-20 07:03:43","6 Branch"
