"Bug ID","Product","Component","Changed","Opened","Version"
688637,"Firefox","General","2015-10-13 07:28:08","2011-09-22 15:39:03","8 Branch"
690071,"Firefox","General","2015-10-13 07:28:09","2011-09-28 13:54:45","8 Branch"
696457,"Firefox","Extension Compatibility","2011-10-21 12:25:59","2011-10-21 12:25:59","8 Branch"
700369,"Firefox","Extension Compatibility","2012-05-04 11:23:18","2011-11-07 10:54:50","8 Branch"
700371,"Firefox","General","2012-11-06 06:08:43","2011-11-07 11:01:29","8 Branch"
702040,"Firefox","General","2011-11-14 09:48:07","2011-11-12 12:31:22","8 Branch"
704021,"Firefox","Untriaged","2014-10-12 06:51:38","2011-11-20 15:57:31","8 Branch"
705646,"Firefox","Extension Compatibility","2012-02-08 11:21:25","2011-11-28 05:27:54","8 Branch"
706686,"Firefox","Extension Compatibility","2012-07-27 22:59:56","2011-11-30 15:13:41","8 Branch"
707646,"Firefox","General","2015-10-13 07:28:20","2011-12-05 05:24:05","8 Branch"
731195,"Firefox","Security","2012-08-26 09:07:23","2012-02-28 07:16:05","8 Branch"
674133,"Firefox","Build Config","2011-08-23 00:18:40","2011-07-25 17:30:57","8 Branch"
701095,"Firefox","General","2011-11-09 11:16:22","2011-11-09 10:59:53","8 Branch"
701289,"Firefox","General","2011-11-09 23:16:37","2011-11-09 22:00:39","8 Branch"
703548,"Firefox","General","2011-11-18 07:44:18","2011-11-18 03:49:58","8 Branch"
704763,"Firefox","General","2011-11-23 00:20:32","2011-11-23 00:20:32","8 Branch"
709996,"Firefox","General","2012-04-26 05:34:28","2011-12-12 15:15:19","8 Branch"
718249,"Firefox","General","2013-12-05 13:05:38","2012-01-14 18:08:06","8 Branch"
440030,"Firefox","General","2011-11-30 09:54:09","2008-06-18 09:28:57","8 Branch"
494876,"Firefox","General","2011-08-06 15:26:40","2009-05-26 05:30:24","8 Branch"
654892,"Firefox","Tabbed Browser","2011-11-10 06:57:21","2011-05-04 16:59:12","8 Branch"
670204,"Firefox","General","2011-08-30 19:55:04","2011-07-08 11:43:45","8 Branch"
670537,"Firefox","General","2014-09-08 18:58:53","2011-07-10 10:00:19","8 Branch"
670615,"Firefox","General","2011-07-12 01:34:06","2011-07-11 01:18:56","8 Branch"
671222,"Firefox","General","2011-07-13 03:40:31","2011-07-13 03:40:31","8 Branch"
671233,"Firefox","General","2013-05-10 05:48:04","2011-07-13 04:49:08","8 Branch"
671640,"Firefox","General","2012-07-05 18:10:29","2011-07-14 13:09:13","8 Branch"
672038,"Firefox","Preferences","2014-05-20 02:17:30","2011-07-16 06:57:04","8 Branch"
672078,"Firefox","General","2011-08-13 07:08:21","2011-07-16 13:50:50","8 Branch"
672865,"Firefox","General","2012-04-09 11:28:20","2011-07-20 11:04:06","8 Branch"
673093,"Firefox","General","2011-07-25 00:11:37","2011-07-21 05:48:32","8 Branch"
675507,"Firefox","General","2013-12-01 09:41:35","2011-07-31 10:08:44","8 Branch"
677009,"Firefox","Tabbed Browser","2012-10-08 05:09:05","2011-08-06 01:24:12","8 Branch"
678563,"Firefox","Panorama","2011-11-10 02:29:04","2011-08-12 11:33:03","8 Branch"
678735,"Firefox","Theme","2011-08-14 08:20:37","2011-08-13 10:24:30","8 Branch"
679237,"Firefox","Location Bar","2011-08-15 17:50:15","2011-08-15 17:50:15","8 Branch"
680648,"Firefox","Location Bar","2012-06-07 21:29:20","2011-08-20 02:02:10","8 Branch"
682156,"Firefox","General","2011-10-05 12:23:40","2011-08-25 16:49:12","8 Branch"
682220,"Firefox","General","2012-12-06 05:29:16","2011-08-25 23:50:23","8 Branch"
682741,"Firefox","Menus","2011-08-29 08:59:54","2011-08-28 15:04:32","8 Branch"
683146,"Firefox","Tabbed Browser","2015-04-03 15:59:52","2011-08-30 06:50:02","8 Branch"
684490,"Firefox","Tabbed Browser","2011-09-06 04:20:48","2011-09-03 05:46:18","8 Branch"
684609,"Firefox","Panorama","2012-04-02 19:28:33","2011-09-04 12:09:53","8 Branch"
686211,"Firefox","General","2011-09-11 07:32:59","2011-09-11 07:30:08","8 Branch"
690658,"Firefox","Search","2013-10-09 11:23:23","2011-09-29 22:48:07","8 Branch"
690681,"Firefox","General","2012-06-17 12:41:28","2011-09-30 00:46:13","8 Branch"
690764,"Firefox","Tabbed Browser","2011-09-30 07:20:24","2011-09-30 07:20:24","8 Branch"
690846,"Firefox","General","2011-09-30 14:29:50","2011-09-30 11:14:14","8 Branch"
691917,"Firefox","Toolbars and Customization","2011-10-04 14:22:05","2011-10-04 14:21:48","8 Branch"
691989,"Firefox","Theme","2011-11-09 04:41:10","2011-10-04 17:39:39","8 Branch"
692345,"Firefox","Tabbed Browser","2011-10-06 09:12:40","2011-10-05 18:38:37","8 Branch"
692426,"Firefox","General","2011-10-07 02:51:29","2011-10-06 06:17:18","8 Branch"
692748,"Firefox","General","2012-12-09 13:43:26","2011-10-07 03:17:01","8 Branch"
693987,"Firefox","General","2013-11-13 22:32:52","2011-10-12 06:26:34","8 Branch"
696525,"Firefox","General","2013-11-16 00:03:12","2011-10-21 16:40:23","8 Branch"
697060,"Firefox","General","2011-11-21 23:31:08","2011-10-25 05:23:42","8 Branch"
697735,"Firefox","General","2013-09-30 20:35:10","2011-10-27 09:15:02","8 Branch"
698215,"Firefox","General","2013-02-07 12:56:55","2011-10-29 10:49:03","8 Branch"
698409,"Firefox","Extension Compatibility","2011-10-31 10:15:49","2011-10-31 06:19:26","8 Branch"
700056,"Firefox","General","2011-11-07 23:59:39","2011-11-05 13:18:57","8 Branch"
700791,"Firefox","Preferences","2011-11-08 13:34:24","2011-11-08 13:34:24","8 Branch"
700879,"Firefox","General","2011-11-09 22:13:00","2011-11-08 17:09:24","8 Branch"
700908,"Firefox","General","2012-03-17 13:39:20","2011-11-08 19:16:19","8 Branch"
700998,"Firefox","Toolbars and Customization","2011-11-09 07:50:33","2011-11-09 05:42:59","8 Branch"
701022,"Firefox","General","2011-11-09 07:38:40","2011-11-09 07:38:40","8 Branch"
701029,"Firefox","General","2012-03-17 06:04:45","2011-11-09 08:08:16","8 Branch"
701336,"Firefox","General","2011-11-10 07:28:26","2011-11-10 04:00:49","8 Branch"
701368,"Firefox","General","2011-11-10 16:06:15","2011-11-10 07:38:31","8 Branch"
701394,"Firefox","General","2011-11-10 08:39:44","2011-11-10 08:39:44","8 Branch"
701400,"Firefox","General","2011-11-10 08:50:30","2011-11-10 08:50:30","8 Branch"
701407,"Firefox","General","2011-11-10 09:19:30","2011-11-10 09:19:30","8 Branch"
701426,"Firefox","Extension Compatibility","2011-11-14 12:22:06","2011-11-10 10:05:22","8 Branch"
701602,"Firefox","General","2011-11-11 17:27:08","2011-11-10 17:45:33","8 Branch"
701650,"Firefox","Preferences","2011-11-11 02:00:49","2011-11-11 02:00:49","8 Branch"
701657,"Firefox","General","2013-08-30 19:54:07","2011-11-11 02:48:26","8 Branch"
701668,"Firefox","General","2011-12-09 18:51:03","2011-11-11 04:32:28","8 Branch"
701886,"Firefox","General","2011-11-12 04:53:17","2011-11-11 14:54:57","8 Branch"
701988,"Firefox","General","2011-11-11 23:39:04","2011-11-11 23:39:04","8 Branch"
701999,"Firefox","General","2011-11-12 02:02:16","2011-11-12 01:50:46","8 Branch"
702006,"Firefox","General","2011-11-12 14:49:19","2011-11-12 04:06:42","8 Branch"
702008,"Firefox","General","2011-11-12 05:08:04","2011-11-12 05:07:30","8 Branch"
702031,"Firefox","General","2012-03-11 00:21:12","2011-11-12 10:58:54","8 Branch"
702052,"Firefox","General","2011-11-12 16:26:25","2011-11-12 16:05:41","8 Branch"
702070,"Firefox","General","2011-11-12 19:17:33","2011-11-12 19:17:33","8 Branch"
702379,"Firefox","Theme","2011-11-14 11:49:33","2011-11-14 11:48:47","8 Branch"
702415,"Firefox","Preferences","2013-06-01 22:40:51","2011-11-14 13:26:59","8 Branch"
702588,"Firefox","General","2011-11-16 07:23:09","2011-11-15 05:23:57","8 Branch"
702635,"Firefox","General","2011-11-15 07:56:50","2011-11-15 07:56:50","8 Branch"
702750,"Firefox","General","2011-11-15 13:30:21","2011-11-15 13:30:21","8 Branch"
702902,"Firefox","General","2013-12-11 14:59:01","2011-11-16 01:10:16","8 Branch"
702953,"Firefox","General","2011-11-16 07:04:31","2011-11-16 07:04:31","8 Branch"
703051,"Firefox","General","2011-11-17 14:05:10","2011-11-16 13:06:28","8 Branch"
703074,"Firefox","General","2011-11-16 17:16:33","2011-11-16 13:46:34","8 Branch"
703200,"Firefox","General","2012-12-14 01:56:51","2011-11-16 22:52:07","8 Branch"
703222,"Firefox","General","2011-11-17 01:58:29","2011-11-17 01:58:29","8 Branch"
703245,"Firefox","General","2013-05-28 08:31:07","2011-11-17 04:54:20","8 Branch"
703581,"Firefox","General","2011-11-18 06:48:48","2011-11-18 06:48:26","8 Branch"
703658,"Firefox","Keyboard Navigation","2011-11-18 10:54:24","2011-11-18 10:52:39","8 Branch"
703846,"Firefox","General","2011-11-19 01:31:17","2011-11-19 01:31:17","8 Branch"
703869,"Firefox","General","2014-10-19 05:56:31","2011-11-19 05:26:56","8 Branch"
703968,"Firefox","Tabbed Browser","2011-11-22 14:49:10","2011-11-20 03:58:16","8 Branch"
703979,"Firefox","General","2011-11-20 06:24:40","2011-11-20 06:12:03","8 Branch"
704051,"Firefox","General","2011-11-20 22:03:02","2011-11-20 22:03:02","8 Branch"
704096,"Firefox","General","2011-11-21 05:16:01","2011-11-21 04:18:43","8 Branch"
704145,"Firefox","General","2013-10-19 18:56:40","2011-11-21 07:48:46","8 Branch"
704154,"Firefox","General","2011-11-21 09:07:24","2011-11-21 08:23:53","8 Branch"
704256,"Firefox","General","2011-11-21 15:36:45","2011-11-21 13:17:54","8 Branch"
704485,"Firefox","General","2013-05-22 04:31:59","2011-11-22 07:39:22","8 Branch"
704796,"Firefox","Menus","2011-11-23 04:42:44","2011-11-23 04:42:44","8 Branch"
704809,"Firefox","General","2011-11-23 05:47:34","2011-11-23 05:47:34","8 Branch"
704858,"Firefox","Menus","2011-11-23 10:01:40","2011-11-23 09:27:42","8 Branch"
705292,"Firefox","Menus","2013-12-31 09:23:48","2011-11-25 08:13:25","8 Branch"
705465,"Firefox","Bookmarks & History","2011-12-01 06:54:46","2011-11-26 11:09:42","8 Branch"
705487,"Firefox","General","2011-11-26 14:46:21","2011-11-26 14:46:21","8 Branch"
705539,"Firefox","General","2014-05-13 08:31:32","2011-11-27 06:40:15","8 Branch"
705560,"Firefox","General","2011-11-28 15:38:56","2011-11-27 11:06:31","8 Branch"
705601,"Firefox","General","2011-11-27 21:50:09","2011-11-27 21:27:57","8 Branch"
705744,"Firefox","Disability Access","2011-11-28 10:07:45","2011-11-28 09:48:14","8 Branch"
705857,"Firefox","Preferences","2011-11-28 13:27:54","2011-11-28 13:27:54","8 Branch"
706019,"Firefox","Tabbed Browser","2011-11-29 01:31:10","2011-11-29 01:28:22","8 Branch"
