"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2" "ks" "ad"
"pareto" 305.512860237524 308.247451897497 0.337140247296124 1.03703192122355 0.437172787193262 0.611507041436584 -0.075435205636613 0.341567223868312 3.99532586586209
"weibull" 288.500669193302 291.235260853275 0.494930518757891 1.52238942355895 0.813454188898145 0.897708000363657 -1.31766955696414 0.245162424141968 1.46092805525585
"exp" 303.512852241638 304.880148071625 0.337082021321134 1.03685282010705 0.437062339038254 0.611401430807221 -0.0750637705639439 0.341688951677656 3.99766408733407
"gamma" 295.48909193573 298.223683595703 0.208651097583785 0.641803671700644 0.178401912614864 0.378452636252258 0.588088046991572 0.286362749797467 2.1092022326255
