"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2" "ks" "ad"
"pareto" 548.466093031227 552.621167919038 0.179929589307186 0.484084173496557 0.148614612040202 0.273391884991321 0.765662512970155 0.0673248723255233 0.502974384923057
"weibull" 548.43657426171 552.591649149522 0.178648010524175 0.480636202496715 0.147855584451962 0.271444605277065 0.768988840849537 0.0718928533814479 0.529889495664698
"exp" 546.46608671077 548.543624154675 0.179937028683958 0.484104188462245 0.14862362456655 0.273403188664313 0.765643134713311 0.0673322818872983 0.502821006432335
"gamma" 548.455511647682 552.610586535494 0.270006315796847 0.726427402655928 0.248204741799598 0.410257900990573 0.472303228670562 0.066284513779641 0.487595841773697
