"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2" "ks" "ad"
"pareto" 214.568192581928 217.370587345253 0.462206126509507 1.13106598782107 0.356617957058097 0.82186917098942 -0.279310268805658 0.278262759237643 2.50574076387713
"weibull" 216.775822328341 219.578217091665 0.402189856419472 0.984199994660495 0.324147654632009 0.715151584796283 0.0313503705102819 0.292608612690482 2.42773617922106
"exp" 230.684522845362 232.085720227024 0.297502179657383 0.728018469279591 0.256841964912003 0.529001793223807 0.469989108387801 0.441651302171357 9.64245969816976
"gamma" 219.099713309747 221.902108073072 0.411103442189968 1.00601245692851 0.555969265759386 0.731001226173959 -0.0120610634953364 0.302823261122585 2.58110457245884
