"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2" "ks" "ad"
"pareto" 156.834671539151 159.827686662084 0.458573133283102 1.24699022096169 0.292471308178438 0.707376050125712 -0.554984611174078 0.23532335597265 1.39067979492907
"weibull" 154.381143856777 157.37415897971 0.461932348040476 1.25612487724337 0.293875777162243 0.712557836615432 -0.577849707229672 0.201556891641665 1.35404153947925
"exp" 154.834668397792 156.331175959258 0.458567931490883 1.24697607581546 0.292468594242557 0.707368026055032 -0.554949333656114 0.235316062701242 1.3906099802933
"gamma" 153.428664596028 156.421679718961 0.480573351949238 1.30681504615212 0.306560082469388 0.741312682371338 -0.707765564849566 0.218443612735693 1.48364024723005
