"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2" "ks" "ad"
"pareto" 347.809694233326 350.544285893299 0.409064479480867 1.39644956677201 0.641485390368704 0.782621732009427 -0.950071392537744 0.427463213544145 6.19694320608123
"weibull" 305.94625886376 308.680850523733 0.521385243386475 1.77988613964322 0.994888718606711 0.997513699407785 -2.16799467009405 0.129181805771442 0.546544567993973
"exp" 345.809692006021 347.176987836007 0.409061864076271 1.39644063839813 0.641478606817673 0.782616728220104 -0.950046456569778 0.427471239306412 6.19715320786852
"gamma" 304.02097549731 306.755567157283 0.586432123217201 2.00194083203491 0.394087854090392 1.12196132150281 -3.00776709496861 0.123002241451111 0.523599246161588
