"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2"
"pareto" 114.608934601206 115.214104787194 0.59273842685074 1.85369789247742 0.822311185101198 0.902593648310495 -2.43619587657523
"weibull" 104.794443328741 105.399613514729 0.656061556938191 2.05173120273847 0.997966783270003 0.999019073791581 -3.20960092829066
"exp" 112.608932795843 112.911517888837 0.592733961879677 1.85368392896995 0.822299882729297 0.902586849266703 -2.43614410852148
"gamma" 106.90063104255 107.505801228539 0.139220601908981 0.435390932420689 0.111293445374251 0.211998455481701 0.810434735965843
"gpd" NA NA NA NA NA NA NA
"lnorm" 109.282512710217 109.887682896205 0.656676801443918 2.05365528491699 0.999895928588212 0.999955938617399 -3.21750002926747
