"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2" "ks" "ad"
"pareto" 585.00587697604 589.227624704386 0.159212453356511 0.457496016115018 0.147076523512638 0.281666885851361 0.790697395238887 0.244226810287878 5.08625717759746
"weibull" 571.636994210759 575.858741939106 0.117637504242502 0.338030652766504 0.113857365072859 0.208115563706038 0.885735277790251 0.132787681065448 2.60791792266416
"exp" 583.005869264111 585.116743128284 0.159212809501811 0.457497039496371 0.147073674515936 0.28166751591726 0.790696458852056 0.24425316414181 5.08715136775906
"gamma" 579.470775477595 583.692523205941 0.246234297030457 0.707552754495063 0.205278483114432 0.435619489381679 0.499369099606448 0.185395765339694 3.60161246328758
