"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2"
"pareto" 142.299338232843 144.290802779951 0.223096726063735 0.763342512358004 0.157634816360448 0.273974022608848 0.41730820882697
"weibull" 141.721284677209 143.712749224317 0.220291208532179 0.75374321953651 0.155374375149335 0.270528705695499 0.431871159002737
"exp" 140.383553672148 141.379285945702 0.241691250308844 0.826965099312995 0.172795957184668 0.296809035456482 0.316128724518248
"gamma" 141.808375141916 143.799839689024 0.457946264735613 1.56689817199908 0.389839610630264 0.562381091385756 -1.45516988141407
"gpd" NA NA NA NA NA NA NA
"lnorm" 141.234765681268 143.226230228376 0.1776305425306 0.607776487800574 0.121848384119289 0.218139257953061 0.630607740876799
