"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2"
"pareto" 111.718632004192 112.514422549789 0.618743487091796 1.7339683822655 0.680268881142898 0.810994038159946 -2.00664635069644
"weibull" 111.864536831917 112.660327377514 0.618656053919499 1.73372335931255 0.680173191021821 0.81087943851898 -2.005796686626
"exp" 109.984360311292 110.382255584091 0.639942248188384 1.79337584634638 0.720621436259184 0.838779492430366 -2.21619692625859
"gamma" 111.947825110057 112.743615655654 0.661812534476799 1.85466519439826 0.764560852794041 0.867445122312179 -2.43978298331235
"gpd" NA NA NA NA NA NA NA
"lnorm" 111.268771105773 112.06456165137 0.63651872445654 1.78378175439908 0.711857499932627 0.834292241422563 -2.18187734732705
