"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2" "ks" "ad"
"pareto" 1100.21974417245 1106.66045582261 0.523516104005711 1.77802821148163 0.335413354647461 0.889286543002925 -2.16138432082455 0.300296255472932 21.1562599295539
"weibull" 1359.90256518772 1366.34327683788 0.469499425714903 1.59457028696564 0.309868617597905 0.797529470519038 -1.54265440007367 0.451085107337036 51.1035078574792
"exp" 1098.21967436603 1101.44003019111 0.523490798390266 1.77794226551392 0.335400334316849 0.889243556850053 -2.16107869950076 0.30013582478329 21.1370814526952
"gamma" 979.965341686231 986.406053336388 0.568514290343041 1.93085645145571 0.358282589153508 0.965724080001576 -2.72820663612813 0.0860260811389936 0.98603615706287
