"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2" "ks" "ad"
"pareto" 243.285692610754 245.64180027145 0.3689893472491 1.01371486354058 0.454888254785607 0.630031238472863 -0.0276178245631014 0.250272099295655 1.86690474812279
"weibull" 242.208228806218 244.564336466914 0.415293527235252 1.14092513626516 0.547236505227502 0.709093357963948 -0.301710166561669 0.210660812362454 1.91503564637184
"exp" 241.285690903937 242.463744734285 0.368980886672803 1.01369162001876 0.454872682345297 0.63001679245321 -0.0275707004962529 0.250289359583182 1.86707827331108
"gamma" 243.127821675037 245.483929335733 0.363002914380622 0.997268491785933 0.442185719276757 0.61980969754687 0.00545555529101127 0.238356971737655 1.89014793737664
