"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2"
"pareto" 86.1128414519927 86.9086319975894 0.412549380003109 2.52866186983929 0.287688826937197 0.451053655097287 -5.39413085197911
"weibull" 88.9951190397638 89.7909095853605 0.487153816830175 2.98593899560788 0.360210717870324 0.532621112348269 -7.91583168549177
"exp" 94.3299543496763 94.7278496224747 0.697835969759044 4.27728483828704 0.607373161443538 0.762966762465634 -17.2951655878401
"gamma" 90.5161592332402 91.3119497788369 0.863322509203754 5.29161069247288 0.89047651470825 0.943898578398495 -27.0011437206933
"gpd" NA NA NA NA NA NA NA
"lnorm" 85.6662933511774 86.4620838967742 0.459756344695917 2.81801014521096 0.330556278309082 0.502666564976292 -6.94118117851189
