"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2"
"pareto" 171.724315603417 173.269493047897 0.556236746631593 1.88675075675236 0.686220981763486 0.814075256201008 -2.55982841810559
"weibull" 157.099757306968 158.644934751448 0.677001168218721 2.29638274384793 0.980871347297119 0.990818932412356 -4.27337370624254
"exp" 169.722456082264 170.495044804504 0.556009664290805 1.8859804952029 0.685748512606998 0.813742911896402 -2.55692242828577
"gamma" 161.662466883875 163.207644328355 0.105810712461699 0.35890912101469 0.077398851144697 0.154858310562354 0.871184242852463
"gpd" NA NA NA NA NA NA NA
"lnorm" 169.007654324099 170.552831768579 0.673345815016875 2.28398381396502 0.96867666158432 0.985469173317298 -4.21658206245421
