,pareto,weibull,exp,gamma,lnorm
tomcat3.3,0.171316152,0.174457044,0.171307685,0.242095928,0.14032689
tomcat4.1,0.686220982,0.980871347,0.685748513,0.077398851,0.968676662
tomcat5,0.675441936,0.99999995,0.675593199,0.340293415,1
firefox2,0.109029311,0.104231084,0.105224991,0.110731426,0.117334726
firefox3,0.138640216,0.142142131,0.138706055,0.233041966,0.140945482
firefox4,0.277746001,0.36866916,0.599279083,0.884988314,0.318169605
libre3,0.625936555,0.800351189,0.625685814,0.482911462,0.683219298
libre4,0.811132894,1,0.811137323,0.328650609,1
freebsd2,0.385603424,0.491719434,0.385717398,0.154366778,0.485138915
freebsd3,0.788433838,0.999855343,0.788483705,0.340401461,1
freebsd4,0.822311185,0.997966783,0.822299883,0.111293445,0.999895929
eclipse1,0.476417413,0.833384821,0.476420896,0.21231451,0.870326736
eclipse2.0,0.287688827,0.360210718,0.607373161,0.890476515,0.330556278
eclipse2.1,0.680268881,0.680173191,0.720621436,0.764560853,0.7118575
