"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2"
"pareto" 70.7242745495874 71.5200650951842 0.219466667145971 0.605224381212178 0.171316151615499 0.297348968402775 0.633703448386336
"weibull" 70.6978828852844 71.4936734308811 0.222387721785416 0.613279788940538 0.174457043532748 0.301306619899389 0.62388790047705
"exp" 68.7242735729887 69.1221688457871 0.21945773593488 0.605199751564423 0.171307685401544 0.297336867766087 0.63373326070636
"gamma" 70.6915052351717 71.4872957807684 0.292239288106484 0.805909820430702 0.24209592782335 0.3959464641044 0.350509361333353
"gpd" NA NA NA NA NA NA NA
"lnorm" 70.6640046228633 71.45979516846 0.185196904534114 0.51071847678135 0.14032689002245 0.250917869354526 0.739166637474137
