"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2"
"pareto" 81.5826721203444 83.2490988084569 0.16955816928789 0.692993108446662 0.109029311385264 0.238365851625192 0.519760551645433
"weibull" 81.8421826576561 83.5086093457685 0.162140424921745 0.662676399157182 0.104231083845156 0.227937943843457 0.560859990000071
"exp" 79.9933153936218 80.826528737678 0.16358442539594 0.668578104639222 0.105224990903711 0.229967928032507 0.553003317997026
"gamma" 81.0515084900066 82.717935178119 0.169405634968957 0.692369692705234 0.11073142593474 0.238151418000513 0.52062420862326
"gpd" 81.5826760074485 83.249102695561 0.186214230498708 0.761067301990028 0.118184141093998 0.261781038471761 0.420776561841619
"lnorm" 75.2504003033969 76.9168269915094 0.185113940288508 0.756570358338406 0.117334725626911 0.260234244152792 0.427601292883696
