"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Opened"
4600,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Tomcat 3.3 redirect behavior differs from Tomcat 3.2","2004-11-16 19:05:38","2001-11-02 10:52:25"
2628,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","Http Status Code not set properly","2004-11-16 19:05:38","2001-07-13 22:36:23"
2916,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","JSP compilation fails due to use of Java2 method","2005-03-20 17:06:12","2001-07-30 22:23:38"
3507,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","Invalid servlet-mapping in web.xml file generated by JspC","2004-11-16 19:05:38","2001-09-07 13:50:16"
5030,"Tomcat 3","Connectors","dev","RESOLVED","WORKSFORME","MountJk /blah/*.jsp doesn't understand .jsp;jsessionid=","2004-11-16 19:05:38","2001-11-22 04:32:26"
5531,"Tomcat 3","Connectors","dev","RESOLVED","INVALID","ISAPI (iss_redirect.dll) doesn't forward the request","2005-03-20 17:06:12","2001-12-20 03:07:26"
6518,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","class name generated from jsp filename mangles some valid identifier characters","2004-11-16 19:05:38","2002-02-18 07:04:49"
10321,"Tomcat 3","Encoding","dev","RESOLVED","DUPLICATE","Encoding problem in solaris environment (Solaris 2.6)","2004-11-16 19:05:39","2002-06-28 13:14:32"
3961,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","FactoryConfigurationError on Servlet+JSP+taglib","2005-03-20 17:06:12","2001-10-04 01:18:46"
5365,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","JSPs cannot be compiled if their working path includes reserved word","2005-03-20 17:06:12","2001-12-11 12:40:57"
4206,"Tomcat 3","Config","dev","RESOLVED","FIXED","missing config files do not cause an error","2004-11-16 19:05:38","2001-10-16 11:40:07"
3032,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","Cannot recover key Exception while using trust keystore with multiple keys","2004-11-16 19:05:38","2001-08-07 16:41:01"
4416,"Tomcat 3","Encoding","dev","RESOLVED","FIXED","URI En/Decoding not working","2005-03-20 17:06:12","2001-10-25 06:31:46"
2203,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","path info completely unescaped","2005-03-20 17:06:12","2001-06-16 03:55:01"
3986,"Tomcat 3","Encoding","dev","RESOLVED","INVALID","Cannot support  passing parameter as % in  <JSP: forward>","2005-03-20 17:06:12","2001-10-05 02:55:30"
3441,"Tomcat 3","Auth","dev","RESOLVED","FIXED","transport-guarantee in web.xml is not respected","2004-11-16 19:05:38","2001-09-05 11:38:04"
