"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2" "ks" "ad"
"pareto" 70.7242745495874 71.5200650951842 0.219466667145971 0.605224381212178 0.171316151615499 0.297348968402775 0.633703448386336 0.181376107659422 0.503591110195805
"weibull" 70.6978828852844 71.4936734308811 0.222387721785416 0.613279788940538 0.174457043532748 0.301306619899389 0.62388790047705 0.182795692200877 0.549580761934717
"exp" 68.7242735729887 69.1221688457871 0.21945773593488 0.605199751564423 0.171307685401544 0.297336867766087 0.63373326070636 0.181387292859102 0.503603182937109
"gamma" 70.6915052351717 71.4872957807684 0.292239288106484 0.805909820430702 0.24209592782335 0.3959464641044 0.350509361333353 0.183910709625325 0.554215368553194
