"Bug ID","Product","Component","Changed","Opened","Version"
647713,"yelp","DocBook","2011-04-15 13:52:42","2011-04-13 20:53:50","3.0.x"
639764,"epiphany","Passwords, Cookies, & Certificates","2014-08-08 14:44:41","2011-01-17 17:14:10","3.12.x"
748253,"gnome-online-miners","general","2015-06-03 16:53:59","2015-04-21 14:56:59","3.14.x"
583864,"ekiga","general","2009-07-06 12:41:56","2009-05-26 08:41:50","3.2.x"
730377,"evolution","Mailer","2014-05-21 20:15:04","2014-05-19 13:51:12","3.12.x"
672853,"gnome-boxes","general","2012-04-06 12:50:05","2012-03-26 14:03:43","3.4.x (unsupported)"
640309,"gtk+","Widget: GtkTextView","2011-12-30 10:38:09","2011-01-23 11:12:14","3.0.x"
672312,"eog","collection","2012-03-18 17:45:10","2012-03-17 22:12:05","3.3.x"
678553,"nautilus","Navigation","2012-09-05 02:08:27","2012-06-21 16:08:42","3.4.x"
685987,"epiphany","General","2012-10-22 21:37:12","2012-10-11 16:27:30","3.4.x"
600013,"evolution","Mailer","2013-09-13 01:10:12","2009-10-29 11:37:46","3.0.x (obsolete)"
669157,"pygobject","introspection","2012-05-19 08:21:23","2012-02-01 10:21:26","3.0.x"
672848,"libgnomekbd","Config","2012-03-26 15:04:26","2012-03-26 12:23:38","3.4.x"
682420,"gnome-shell","login-screen","2012-08-31 22:23:20","2012-08-22 02:56:52","3.4.x"
688640,"gnome-shell","general","2012-11-28 12:17:32","2012-11-19 14:04:36","3.6.x"
732044,"gnome-chess","General","2014-06-26 00:13:00","2014-06-22 15:02:57","3.13.x"
583260,"ekiga","general","2009-05-29 10:31:20","2009-05-19 20:23:30","3.2.x"
730416,"empathy","General","2014-05-28 11:16:54","2014-05-20 03:13:09","3.12.x"
729580,"gnome-music","general","2014-05-05 18:22:30","2014-05-05 15:56:45","3.13.x"
670871,"gnome-user-docs","gnome-help","2012-02-27 13:20:05","2012-02-27 10:14:14","3.3.x"
662630,"eog","general","2011-11-09 21:26:02","2011-10-24 17:19:50","3.2.x"
680373,"nautilus","File Properties Dialog","2012-09-17 14:41:19","2012-07-21 14:24:22","3.4.x"
748501,"nautilus","Views: Icon View","2015-08-24 11:21:51","2015-04-26 22:26:39","3.16.x"
656714,"gnome-menus","general","2011-08-29 06:44:40","2011-08-17 02:34:36","3.1.x"
694382,"evolution","Tasks","2013-09-13 01:07:13","2013-02-21 18:27:38","3.8.x (obsolete)"
