"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2"
"pareto" 99.5011522232985 100.106322409287 0.42685757920772 1.21313351809617 0.625936555018735 0.77363679441132 -0.471692932728394
"weibull" 98.2287732953645 98.8339434813526 0.490821062431605 1.39491837846365 0.800351189490542 0.889564229066589 -0.945797282575672
"exp" 97.5011430070998 97.8037281000938 0.426754935635159 1.21284180403426 0.625685813545537 0.773450763172072 -0.470985241613069
"gamma" 99.0033336318587 99.6085038178467 0.363539067941129 1.03318167449526 0.482911461768221 0.65887830710953 -0.0674643725128299
"gpd" NA NA NA NA NA NA NA
"lnorm" 102.807924203586 103.413094389574 0.448112441775667 1.27354005053156 0.683219297846754 0.812159113197929 -0.621904260307938
