Bug ID,Product,Component,Version,Opened
25347,JDT,Core,2.0.1,24-10-02 14:12
24205,JDT,Core,2.0.1,28-09-02 3:14
24003,JDT,UI,2.0.1,23-09-02 18:58
24244,JDT,UI,2.0.1,01-10-02 3:38
25584,JDT,UI,2.0.1,31-10-02 9:53
25258,JDT,UI,2.0.1,23-10-02 12:38
24823,JDT,UI,2.0.1,16-10-02 7:35
24182,JDT,Core,2.0.1,27-09-02 10:09
24529,JDT,Core,2.0.1,08-10-02 14:19
29143,JDT,Debug,2.0.1,08-01-03 9:32
26195,JDT,Core,2.0.1,13-11-02 15:42
23833,JDT,Core,2.0.1,19-09-02 9:55
23673,JDT,UI,2.0.1,17-09-02 15:49
25279,JDT,UI,2.0.1,23-10-02 16:40
24673,JDT,UI,2.0.1,10-10-02 17:20
24327,JDT,UI,2.0.1,02-10-02 13:31
23984,JDT,Core,2.0.1,23-09-02 13:18
31147,JDT,UI,2.0.1,06-02-03 14:55
23788,JDT,Core,2.0.1,18-09-02 16:26
25052,JDT,UI,2.0.1,18-10-02 9:52
25113,JDT,UI,2.0.1,21-10-02 5:03
25450,JDT,Core,2.0.1,28-10-02 7:33
23934,JDT,UI,2.0.1,20-09-02 15:43
24514,JDT,Core,2.0.1,08-10-02 11:21
24002,JDT,Text,2.0.1,23-09-02 18:00
408456,JDT,Debug,2.0.1,19-05-13 5:31
25221,JDT,Core,2.0.1,22-10-02 17:27
24271,JDT,UI,2.0.1,01-10-02 11:38
24822,JDT,Text,2.0.1,16-10-02 7:33
25720,JDT,UI,2.0.1,05-11-02 8:43
23630,JDT,Debug,2.0.1,17-09-02 5:44
23307,JDT,Core,2.0.1,08-09-02 11:55
23344,JDT,Text,2.0.1,09-09-02 15:29
24604,JDT,Text,2.0.1,09-10-02 20:24
24989,JDT,Doc,2.0.1,17-10-02 10:55
32227,JDT,Core,2.0.1,19-02-03 7:59
24723,JDT,UI,2.0.1,11-10-02 18:57
24233,JDT,Debug,2.0.1,30-09-02 13:58
24428,JDT,Core,2.0.1,04-10-02 20:34
24260,JDT,Debug,2.0.1,01-10-02 8:51
24806,JDT,Debug,2.0.1,15-10-02 16:28
26853,JDT,UI,2.0.1,21-11-02 9:40
24709,JDT,UI,2.0.1,11-10-02 13:52
24520,JDT,Text,2.0.1,08-10-02 11:50
27428,JDT,Debug,2.0.1,29-11-02 14:55
