"aic" "bic" "rmse" "rrse" "theil1" "theil2" "r2"
"pareto" 85.2678192399135 85.8729894259016 0.441973062906442 1.38594266701332 0.476417413016984 0.645745679713892 -0.920837076247981
"weibull" 77.9048916632862 78.5100618492743 0.623951135158197 1.95659096203832 0.833384821285729 0.911625127629722 -2.82824819273003
"exp" 83.2678184405561 83.5704035335502 0.441975247542745 1.38594951761332 0.476420896288343 0.64574887158139 -0.920856065372581
"gamma" 77.983581584686 78.5887517706741 0.333418870932737 1.04553756324942 0.212314509515373 0.487142347599303 -0.0931487961655442
"gpd" NA NA NA NA NA NA NA
"lnorm" 78.7321761803337 79.3373463663218 0.640825997322593 2.00950728983397 0.870326736422207 0.93628018073809 -3.03811954789587
